Skel,SF,Frame,sfDiff,sizeDiff
31_0,Skel,1,1.21587873959434,1.0100431377391
31_0,Skel,2,1.30836082657703,1.0425339070907
31_0,Skel,3,1.27998972602006,1.02948529023005
31_0,Skel,4,1.31076121531922,1.04489804378292
31_0,Skel,5,1.19719400434509,0.951633008116888
31_0,Skel,6,1.31069771293484,1.04489804378292
31_0,Skel,7,1.17062503088889,0.983816788304578
31_0,Skel,8,1.15343007274517,0.954176271278833
31_0,Skel,9,1.32902316911059,1.07069918323693
31_0,Skel,10,1.33081390391549,1.07371635609342
31_0,Skel,11,1.24212784411237,1.01947209186721
31_0,Skel,12,1.33727921787959,1.09791421844363
31_0,Skel,13,1.32210748010894,1.0560019945972
31_0,Skel,14,1.16396102377217,0.950889247380379
31_0,Skel,15,1.17010896259357,1.00183352336204
31_0,Skel,16,1.26512886482481,1.02792306156673
31_0,Skel,17,1.16904525684844,0.907188506886778
31_0,Skel,18,1.26495571895739,1.02783793565918
31_0,Skel,19,1.15287518560332,0.992194729905512
31_0,Skel,20,1.30284397849038,1.03977006713234
31_0,Bulge,1,1.21587873959434,1.53504131272857
31_0,Bulge,2,1.30836082657703,1.63593342900687
31_0,Bulge,3,1.27998972602006,1.59820514331509
31_0,Bulge,4,1.31076121531922,1.64086634195945
31_0,Bulge,5,1.19719400434509,1.41173897779835
31_0,Bulge,6,1.31069771293484,1.64087648929353
31_0,Bulge,7,1.17062503088889,1.45257866524481
31_0,Bulge,8,1.15343007274517,1.34242790459308
31_0,Bulge,9,1.32902316911059,1.66576852699677
31_0,Bulge,10,1.33081390391549,1.66816521378526
31_0,Bulge,11,1.24212784411237,1.56426641022354
31_0,Bulge,12,1.33727921787959,1.68752239457169
31_0,Bulge,13,1.32210748010894,1.65748606915858
31_0,Bulge,14,1.16396102377217,1.3520891631536
31_0,Bulge,15,1.17010896259357,1.46460492474661
31_0,Bulge,16,1.26512886482481,1.58256200210913
31_0,Bulge,17,1.16904525684844,1.41269924938345
31_0,Bulge,18,1.26495571895739,1.58242011872363
31_0,Bulge,19,1.15287518560332,1.45362233240932
31_0,Bulge,20,1.30284397849038,1.62869904194141
31_50,Skel,1,1.2033247171878,1.03331144214937
31_50,Skel,2,1.24783003777275,1.01931697839279
31_50,Skel,3,1.22753257638766,1.01295450876859
31_50,Skel,4,1.25129456432373,1.02036555506423
31_50,Skel,5,1.22580265495266,1.09002102221537
31_50,Skel,6,1.2511928705318,1.02060756878923
31_50,Skel,7,1.18976996856528,1.06484600210162
31_50,Skel,8,1.19888523323724,1.18210161243673
31_50,Skel,9,1.27469867260887,1.03654333310209
31_50,Skel,10,1.27764014074148,1.03869993896562
31_50,Skel,11,1.21206415893466,1.01474768421833
31_50,Skel,12,1.28767345891944,1.05718468798607
31_50,Skel,13,1.25879966327986,1.03028106573009
31_50,Skel,14,1.19903021840135,1.17919409936478
31_50,Skel,15,1.19599175532669,1.04874876953931
31_50,Skel,16,1.22547272421252,1.01432431570416
31_50,Skel,17,1.21243391579021,1.12378825509958
31_50,Skel,18,1.22546622245243,1.01435053874919
31_50,Skel,19,1.18186668141334,1.05322256195707
31_50,Skel,20,1.2424658688379,1.01533321312166
31_50,Bulge,1,1.2033247171878,1.53644561180141
31_50,Bulge,2,1.24783003777275,1.59384806705595
31_50,Bulge,3,1.22753257638766,1.56834065227356
31_50,Bulge,4,1.25129456432373,1.60100109814652
31_50,Bulge,5,1.22580265495266,1.54353950399872
31_50,Bulge,6,1.2511928705318,1.6011449953643
31_50,Bulge,7,1.18976996856528,1.49654233851261
31_50,Bulge,8,1.19888523323724,1.60623909431863
31_50,Bulge,9,1.27469867260887,1.63518080974895
31_50,Bulge,10,1.27764014074148,1.6382273898168
31_50,Bulge,11,1.21206415893466,1.5612122840382
31_50,Bulge,12,1.28767345891944,1.66821375859506
31_50,Bulge,13,1.25879966327986,1.61835288376188
31_50,Bulge,14,1.19903021840135,1.60842447485484
31_50,Bulge,15,1.19599175532669,1.49030477043227
31_50,Bulge,16,1.22547272421252,1.56600708031386
31_50,Bulge,17,1.21243391579021,1.57563293809384
31_50,Bulge,18,1.22546622245243,1.56601135620438
31_50,Bulge,19,1.18186668141334,1.49710898683575
31_50,Bulge,20,1.2424658688379,1.59265777454276
